date,gtrends_volume,is_partial
2022-03-20,7,False
2022-03-21,7,False
2022-03-22,8,False
2022-03-23,9,False
2022-03-24,21,False
2022-03-25,100,False
2022-03-26,78,False
2022-03-27,64,False
2022-03-28,45,False
2022-03-29,37,False
2022-03-30,29,False
2022-03-31,27,False
2022-04-01,28,False
2022-04-02,31,False
2022-04-03,33,False
2022-04-04,22,False
2022-04-05,19,False
2022-04-06,18,False
2022-04-07,18,False
2022-04-08,17,False
2022-04-09,20,False
2022-04-10,22,False
2022-04-11,14,False
2022-04-12,13,False
2022-04-13,14,False
2022-04-14,19,False
2022-04-15,18,False
2022-04-16,16,False
2022-04-17,17,False
2022-04-18,11,False
2022-04-19,11,False
2022-04-20,10,False
2022-04-21,10,False
2022-04-22,10,False
2022-04-23,11,False
2022-04-24,12,False
2022-04-25,9,False
2022-04-26,8,False
2022-04-27,8,False
2022-04-28,7,False
2022-04-29,8,False
2022-04-30,9,False
2022-05-01,11,False
2022-05-02,8,False
2022-05-03,9,False
2022-05-04,7,False
2022-05-05,7,False
2022-05-06,8,False
2022-05-07,10,False
2022-05-08,10,False
2022-05-09,7,False
2022-05-10,7,False
2022-05-11,7,False
2022-05-12,7,False
2022-05-13,7,False
2022-05-14,7,False
2022-05-15,9,False
2022-05-16,6,False
2022-05-17,6,False
2022-05-18,6,False
2022-05-19,7,False
2022-05-20,10,False
2022-05-21,10,False
2022-05-22,10,False
2022-05-23,7,False
2022-05-24,6,False
2022-05-25,5,False
2022-05-26,6,False
2022-05-27,5,False
2022-05-28,7,False
2022-05-29,6,False
2022-05-30,5,False
2022-05-31,4,False
2022-06-01,4,False
2022-06-02,5,False
2022-06-03,6,False
2022-06-04,6,False
2022-06-05,6,False
2022-06-06,4,False
2022-06-07,4,False
2022-06-08,4,False
2022-06-09,3,False
2022-06-10,4,False
2022-06-11,4,False
2022-06-12,5,False
2022-06-13,3,False
2022-06-14,3,False
2022-06-15,3,False
2022-06-16,3,False
2022-06-17,3,False
2022-06-18,3,False
2022-06-19,4,False
2022-06-20,3,False
2022-06-21,3,False
2022-06-22,3,False
2022-06-23,3,False
2022-06-24,3,False
2022-06-25,3,False
2022-06-26,4,False
2022-06-27,2,False
2022-06-28,2,False
2022-06-29,2,False
2022-06-30,2,False
2022-07-01,2,False
2022-07-02,2,False
2022-07-03,2,False
2022-07-04,2,False
2022-07-05,2,False
2022-07-06,2,False
2022-07-07,2,False
2022-07-08,2,False
2022-07-09,2,False
2022-07-10,3,False
2022-07-11,2,False
2022-07-12,2,False
2022-07-13,2,False
2022-07-14,2,False
2022-07-15,2,False
2022-07-16,2,False
2022-07-17,2,False
2022-07-18,2,False
2022-07-19,2,False
2022-07-20,2,False
2022-07-21,2,False
2022-07-22,3,False
2022-07-23,2,False
2022-07-24,2,False
2022-07-25,2,False
2022-07-26,2,False
2022-07-27,2,False
2022-07-28,2,False
2022-07-29,1,False
2022-07-30,2,False
2022-07-31,3,False
